Компания,Название модели,Кодовое название,Дата выпуска,Контекстное окно,Максимальный output,Цена за 1M input токенов,Цена за 1M output токенов,Валюта,Модальность,Доступность в РФ,Требования к доступу,Скорость,Качество,Специализация,Языковая поддержка,API документация URL,Теги
Google,Gemini 2.5 Pro,gemini-2.5-pro,2024-10,1000000,8000,1.25,10.00,USD,multimodal,Да,API key,Medium,High,General,100+,https://ai.google.dev/pricing,"general,coding,analytics,business"
Google,Gemini 2.5 Flash,gemini-2.5-flash,2024-10,1000000,8000,0.30,2.50,USD,multimodal,Да,API key,Fast,High,General,100+,https://ai.google.dev/pricing,"general,coding,analytics"
Google,Gemini 2.5 Flash-Lite,gemini-2.5-flash-lite,2024-10,1000000,8000,0.10,0.40,USD,multimodal,Да,API key,Fast,Medium,General,100+,https://ai.google.dev/pricing,"general,development"
Google,Gemini 2.0 Flash,gemini-2.0-flash,2024-10,1000000,8000,0.10,0.40,USD,multimodal,Да,API key,Fast,High,General,100+,https://ai.google.dev/pricing,"general,coding,analytics"
Google,Imagen 4,imagen-4,2024-10,0,0,0.02,0.06,USD,image,Да,API key,Fast,High,Creative,100+,https://ai.google.dev/pricing,"image,creative,design"
Google,Veo 3,veo-3,2024-10,0,0,0.15,0.40,USD,video,Да,API key,Slow,High,Creative,100+,https://ai.google.dev/pricing,"video,creative,animation"
Google,Gemma 3,gemma-3,2024-10,8000,2000,0.00,0.00,USD,text,Да,API key,Fast,Medium,General,100+,https://ai.google.dev/pricing,"general,development,free"
Google,Gemma 3n,gemma-3n,2024-10,8000,2000,0.00,0.00,USD,text,Да,API key,Fast,Medium,General,100+,https://ai.google.dev/pricing,"general,development,free"
Anthropic,Claude 3.7 Sonnet,claude-3-7-sonnet,2024-10,200000,8000,3.00,15.00,USD,multimodal,VPN,API key,Medium,Very High,General,100+,https://www.anthropic.com/api/pricing,"general,coding,analytics,research"
DeepSeek,DeepSeek V3.1,deepseek-v3-1,2024-10,128000,8000,0.75,2.50,USD,multimodal,Да,API key,Medium,High,General,100+,https://platform.deepseek.com/api-docs,"general,coding,analytics"
DeepSeek,DeepSeek R1,deepseek-r1,2024-10,163839,8000,3.75,10.00,USD,multimodal,Да,API key,Medium,Very High,Reasoning,100+,https://platform.deepseek.com/api-docs,"reasoning,coding,research"
